City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,kabala,9.5833,-11.55,22.92,86,19,0.73,SL,1712890728
270,kasongo,-4.45,26.6667,21.0,97,97,0.97,CD,1712890728
271,razole,16.4833,81.8333,31.65,50,20,2.81,IN,1712890728
272,lasalgaon,20.15,74.2333,27.37,52,36,3.07,IN,1712890728
273,klyuchi,52.2667,79.1667,-0.56,47,4,2.4,RU,1712890728
274,georgetown,5.4112,100.3354,32.19,64,20,3.09,MY,1712890728
275,banda aceh,5.5577,95.3222,30.69,63,21,3.21,ID,1712890728
276,tazovsky,67.4667,78.7,-17.87,83,100,9.66,RU,1712890511
277,tarhuna,32.435,13.6332,14.22,87,100,7.99,LY,1712890729
278,pointe aux piments,-20.0628,57.5131,25.85,89,92,3.57,MU,1712890729
279,telimele,10.9167,-13.3333,24.64,55,77,1.5,GN,1712890729
280,tacna,-18.0056,-70.2483,17.5,88,0,1.03,PE,1712890264
281,apatzingan,19.0833,-102.35,28.86,37,5,2.97,MX,1712890729
282,kidal,18.4411,1.4078,27.43,10,89,5.08,ML,1712890573
283,masterton,-40.9597,175.6575,18.82,97,100,1.33,NZ,1712890729
284,chumphon,10.3333,98.8333,33.44,45,51,3.76,TH,1712890730
285,fortuna,40.5982,-124.1573,11.07,85,100,3.6,US,1712890730
286,oppdal,62.5943,9.6912,1.76,74,55,4.97,NO,1712890730
287,kukawa,12.9234,13.5606,26.8,31,69,5.41,NG,1712890730
288,namibe,-15.1961,12.1522,22.1,76,46,2.49,AO,1712890513
289,soma,39.1855,27.6094,10.56,93,4,3.78,TR,1712890730
290,peniche,39.3558,-9.3811,19.69,85,71,2.16,PT,1712890730
291,chibougamau,49.9168,-74.3659,4.79,93,75,3.09,CA,1712890546
292,gatesville,31.4352,-97.7439,20.38,68,0,0.0,US,1712890731
293,chikola,43.1906,43.9209,6.47,71,21,2.23,RU,1712890731
294,keila,59.3036,24.4131,8.88,66,75,8.23,EE,1712890731
295,arfoud,31.4348,-4.2375,16.76,24,10,10.68,MA,1712890731
296,el calafate,-50.3408,-72.2768,5.77,61,33,1.65,AR,1712890484
297,basoko,1.2391,23.616,23.04,94,100,2.15,CD,1712890731
298,oamaru,-45.0784,170.9801,10.21,90,100,5.15,NZ,1712890606
299,daru,-9.0763,143.2092,26.61,85,100,4.83,PG,1712890561
300,okhotsk,59.3833,143.3,-1.27,93,61,1.04,RU,1712890732
301,beau vallon,-20.4189,57.6953,25.68,94,75,4.63,MU,1712890732
302,greenville,35.6127,-77.3663,22.29,92,100,8.23,US,1712890445
303,dilling,12.05,29.65,23.32,13,47,4.24,SD,1712890732
304,praia da vitoria,38.7333,-27.0667,16.14,94,20,1.84,PT,1712890558
305,acapulco de juarez,16.8634,-99.8901,23.34,78,0,1.55,MX,1712890732
306,kruisfontein,-34.0033,24.7314,12.71,71,5,3.51,ZA,1712890623
307,yaren,-0.5472,166.916,28.48,76,98,3.08,NR,1712890733
308,tacoronte,28.4769,-16.4102,25.09,26,0,2.06,ES,1712890733
309,butterworth,5.3991,100.3638,32.25,64,20,3.09,MY,1712890733
310,tannum sands,-23.9504,151.3693,25.94,57,100,4.63,AU,1712890733
311,broome,42.2506,-75.833,17.48,87,100,7.72,US,1712890733
312,san antonio de pale,-1.4014,5.6325,28.0,77,100,4.05,GQ,1712890733
313,laminusa,5.5549,120.9136,27.69,76,82,1.24,PH,1712890733
314,jackson,42.4165,-122.8345,18.93,26,0,5.66,US,1712890733
315,menaka,15.9182,2.4022,31.85,9,98,3.43,ML,1712890734
316,carnarvon,-24.8667,113.6333,25.7,46,0,3.79,AU,1712890734
317,cole harbour,44.6724,-63.4751,3.99,82,100,2.24,CA,1712890734
318,cabedelo,-6.9811,-34.8339,26.37,83,78,2.86,BR,1712890618
319,rabo de peixe,37.8,-25.5833,17.77,99,40,1.03,PT,1712890734
320,cambria,35.5641,-121.0808,23.41,94,26,0.45,US,1712890734
321,saint-louis,16.3333,-15.0,27.15,28,38,4.74,SN,1712890734
322,la'ie,21.6477,-157.9253,26.98,88,100,4.92,US,1712890734
323,faya-largeau,17.9257,19.1043,24.88,12,27,7.51,TD,1712890735
324,jam sahib,26.2958,68.6292,31.51,27,39,2.77,PK,1712890735
325,timimoun,29.2639,0.231,16.21,14,0,2.57,DZ,1712890735
326,arar,30.9753,41.0381,16.01,41,0,2.06,SA,1712890735
327,al ghayzah,16.2079,52.176,27.05,70,25,4.6,YE,1712890735
328,robore,-18.3333,-59.75,20.74,96,100,1.4,BO,1712890735
329,conde,-7.2597,-34.9075,25.7,94,20,0.0,BR,1712890735
330,nogliki,51.8333,143.1667,3.52,88,12,5.36,RU,1712890518
331,champerico,14.3,-91.9167,29.1,75,56,1.34,GT,1712890736
332,mozhga,56.4447,52.2276,6.76,87,39,3.47,RU,1712890736
333,moreira sales,-24.0622,-53.0069,24.48,58,100,3.92,BR,1712890736
334,mahibadhoo,3.7833,72.9667,29.29,72,42,0.85,MV,1712890736
335,rongelap,11.1635,166.8941,26.74,75,100,8.6,MH,1712890736
336,pergamino,-33.89,-60.5736,13.96,69,95,5.24,AR,1712890736
337,bethanie,-26.4833,17.15,17.6,38,0,2.36,NA,1712890736
338,callao,-12.0667,-77.15,25.4,78,20,4.63,PE,1712890736
339,oltinko'l,40.8011,72.1634,19.97,34,100,1.71,UZ,1712890737
340,cidreira,-30.1811,-50.2056,20.96,78,100,7.2,BR,1712890737
341,anse a galets,18.8317,-72.8642,27.29,74,68,2.27,HT,1712890737
342,cockburn town,21.4612,-71.1419,25.31,82,9,9.83,TC,1712890737
343,thinadhoo,0.5333,72.9333,28.8,72,35,1.53,MV,1712890737
344,villa gesell,-37.2639,-56.973,12.81,61,100,3.63,AR,1712890737
345,pingzhuang,42.0372,119.2889,26.69,19,5,8.61,CN,1712890737
346,santiago de cao,-7.9589,-79.2392,22.07,83,75,4.12,PE,1712890737
347,malmyzh,56.5205,50.6818,8.89,83,39,3.69,RU,1712890738
348,rakops,-21.0167,24.3333,18.84,66,38,5.47,BW,1712890738
349,yangambi,0.8102,24.4336,22.11,96,100,0.37,CD,1712890738
350,sitka,57.0531,-135.33,7.94,57,40,5.66,US,1712890738
351,tha yang,12.9577,99.9055,34.99,43,11,5.06,TH,1712890738
352,karema,-6.8205,30.4389,21.66,87,100,2.66,TZ,1712890738
353,dzhambeyty,50.2536,52.595,10.94,66,100,4.88,KZ,1712890738
354,nova vicosa,-17.8919,-39.3719,26.13,81,6,3.17,BR,1712890738
355,pandan,14.0453,124.1694,28.14,78,39,4.63,PH,1712890515
356,argo,37.6333,22.7333,17.09,47,85,3.42,GR,1712890739
357,bani walid,31.7566,13.9942,15.02,90,100,5.88,LY,1712890739
358,sbikha,35.9333,10.0208,13.98,75,100,6.02,TN,1712890739
359,malakwal,32.5536,73.2123,28.27,23,60,1.16,PK,1712890739
360,cherdyn',60.403,56.4787,3.83,82,100,4.33,RU,1712890739
361,kismayo,-0.3582,42.5454,28.76,76,80,3.36,SO,1712890740
362,heunghae,36.1125,129.3522,22.29,41,50,0.85,KR,1712890740
